scBarcode	Set	Origi	Type
human3_lib2.final_cell_0463	Donor3	alpha	alpha
human3_lib2.final_cell_0464	Donor3	beta	beta
human3_lib2.final_cell_0465	Donor3	beta	beta
human3_lib2.final_cell_0466	Donor3	acinar	acinar
human3_lib2.final_cell_0467	Donor3	alpha	alpha
human3_lib2.final_cell_0468	Donor3	alpha	alpha
human3_lib2.final_cell_0469	Donor3	acinar	acinar
human3_lib2.final_cell_0470	Donor3	alpha	alpha
human3_lib2.final_cell_0471	Donor3	alpha	alpha
human3_lib2.final_cell_0472	Donor3	acinar	acinar
human3_lib2.final_cell_0473	Donor3	acinar	acinar
human3_lib2.final_cell_0474	Donor3	acinar	acinar
human3_lib2.final_cell_0475	Donor3	delta	delta
human3_lib2.final_cell_0476	Donor3	ductal	ductal
human3_lib2.final_cell_0477	Donor3	acinar	acinar
human3_lib2.final_cell_0478	Donor3	alpha	alpha
human3_lib2.final_cell_0479	Donor3	alpha	alpha
human3_lib2.final_cell_0480	Donor3	alpha	alpha
human3_lib2.final_cell_0481	Donor3	acinar	acinar
human3_lib2.final_cell_0482	Donor3	alpha	alpha
human3_lib2.final_cell_0483	Donor3	alpha	alpha
human3_lib2.final_cell_0484	Donor3	alpha	alpha
human3_lib2.final_cell_0485	Donor3	alpha	alpha
human3_lib2.final_cell_0486	Donor3	acinar	acinar
human3_lib2.final_cell_0487	Donor3	alpha	alpha
human3_lib2.final_cell_0488	Donor3	alpha	alpha
human3_lib2.final_cell_0489	Donor3	alpha	alpha
human3_lib2.final_cell_0490	Donor3	beta	beta
human3_lib2.final_cell_0491	Donor3	acinar	acinar
human3_lib2.final_cell_0492	Donor3	activated_stellate	activated_stellate
human3_lib2.final_cell_0493	Donor3	alpha	alpha
human3_lib2.final_cell_0494	Donor3	quiescent_stellate	quiescent_stellate
human3_lib2.final_cell_0495	Donor3	alpha	alpha
human3_lib2.final_cell_0496	Donor3	alpha	alpha
human3_lib2.final_cell_0497	Donor3	acinar	acinar
human3_lib2.final_cell_0498	Donor3	alpha	alpha
human3_lib2.final_cell_0499	Donor3	beta	beta
human3_lib2.final_cell_0500	Donor3	alpha	alpha
human3_lib2.final_cell_0501	Donor3	alpha	alpha
human3_lib2.final_cell_0502	Donor3	ductal	ductal
human3_lib2.final_cell_0503	Donor3	alpha	alpha
human3_lib2.final_cell_0504	Donor3	ductal	ductal
human3_lib2.final_cell_0505	Donor3	alpha	alpha
human3_lib2.final_cell_0506	Donor3	acinar	acinar
human3_lib2.final_cell_0507	Donor3	alpha	alpha
human3_lib2.final_cell_0508	Donor3	beta	beta
human3_lib2.final_cell_0509	Donor3	alpha	alpha
human3_lib2.final_cell_0510	Donor3	alpha	alpha
human3_lib2.final_cell_0511	Donor3	beta	beta
human3_lib2.final_cell_0512	Donor3	beta	beta
human3_lib2.final_cell_0513	Donor3	alpha	alpha
human3_lib2.final_cell_0514	Donor3	alpha	alpha
human3_lib2.final_cell_0515	Donor3	alpha	alpha
human3_lib2.final_cell_0516	Donor3	ductal	ductal
human3_lib2.final_cell_0517	Donor3	alpha	alpha
human3_lib2.final_cell_0518	Donor3	alpha	alpha
human3_lib2.final_cell_0519	Donor3	alpha	alpha
human3_lib2.final_cell_0520	Donor3	alpha	alpha
human3_lib2.final_cell_0521	Donor3	alpha	alpha
human3_lib2.final_cell_0522	Donor3	alpha	alpha
human3_lib2.final_cell_0524	Donor3	beta	beta
human3_lib2.final_cell_0525	Donor3	alpha	alpha
human3_lib2.final_cell_0526	Donor3	ductal	ductal
human3_lib2.final_cell_0527	Donor3	ductal	ductal
human3_lib2.final_cell_0528	Donor3	ductal	ductal
human3_lib2.final_cell_0529	Donor3	beta	beta
human3_lib2.final_cell_0530	Donor3	endothelial	endothelial
human3_lib2.final_cell_0531	Donor3	alpha	alpha
human3_lib2.final_cell_0532	Donor3	beta	beta
human3_lib2.final_cell_0533	Donor3	alpha	alpha
human3_lib2.final_cell_0534	Donor3	beta	beta
human3_lib2.final_cell_0535	Donor3	alpha	alpha
human3_lib2.final_cell_0536	Donor3	alpha	alpha
human3_lib2.final_cell_0537	Donor3	alpha	alpha
human3_lib2.final_cell_0538	Donor3	ductal	ductal
human3_lib2.final_cell_0539	Donor3	beta	beta
human3_lib2.final_cell_0540	Donor3	activated_stellate	activated_stellate
human3_lib2.final_cell_0541	Donor3	alpha	alpha
human3_lib2.final_cell_0542	Donor3	alpha	alpha
human3_lib2.final_cell_0543	Donor3	alpha	alpha
human3_lib2.final_cell_0544	Donor3	endothelial	endothelial
human3_lib2.final_cell_0545	Donor3	alpha	alpha
human3_lib2.final_cell_0547	Donor3	acinar	acinar
human3_lib2.final_cell_0548	Donor3	alpha	alpha
human3_lib2.final_cell_0549	Donor3	ductal	ductal
human3_lib2.final_cell_0550	Donor3	alpha	alpha
human3_lib2.final_cell_0551	Donor3	alpha	alpha
human3_lib2.final_cell_0552	Donor3	alpha	alpha
human3_lib2.final_cell_0553	Donor3	beta	beta
human3_lib2.final_cell_0554	Donor3	alpha	alpha
human3_lib2.final_cell_0555	Donor3	alpha	alpha
human3_lib2.final_cell_0556	Donor3	alpha	alpha
human3_lib2.final_cell_0557	Donor3	alpha	alpha
human3_lib2.final_cell_0558	Donor3	quiescent_stellate	quiescent_stellate
human3_lib2.final_cell_0559	Donor3	alpha	alpha
human3_lib2.final_cell_0560	Donor3	alpha	alpha
human3_lib2.final_cell_0561	Donor3	alpha	alpha
human3_lib2.final_cell_0562	Donor3	beta	beta
human3_lib2.final_cell_0563	Donor3	beta	beta
human3_lib2.final_cell_0564	Donor3	alpha	alpha
human3_lib2.final_cell_0565	Donor3	alpha	alpha
human3_lib2.final_cell_0566	Donor3	beta	beta
human3_lib2.final_cell_0567	Donor3	alpha	alpha
human3_lib2.final_cell_0568	Donor3	alpha	alpha
human3_lib2.final_cell_0569	Donor3	acinar	acinar
human3_lib2.final_cell_0570	Donor3	ductal	ductal
human3_lib2.final_cell_0571	Donor3	alpha	alpha
human3_lib2.final_cell_0572	Donor3	alpha	alpha
human3_lib2.final_cell_0574	Donor3	beta	beta
human3_lib2.final_cell_0575	Donor3	alpha	alpha
human3_lib2.final_cell_0576	Donor3	acinar	acinar
human3_lib2.final_cell_0577	Donor3	alpha	alpha
human3_lib2.final_cell_0578	Donor3	alpha	alpha
human3_lib2.final_cell_0579	Donor3	alpha	alpha
human3_lib2.final_cell_0580	Donor3	macrophage	macrophage
human3_lib2.final_cell_0581	Donor3	beta	beta
human3_lib2.final_cell_0582	Donor3	beta	beta
human3_lib2.final_cell_0583	Donor3	alpha	alpha
human3_lib2.final_cell_0584	Donor3	alpha	alpha
human3_lib2.final_cell_0585	Donor3	ductal	ductal
human3_lib2.final_cell_0586	Donor3	acinar	acinar
human3_lib2.final_cell_0587	Donor3	alpha	alpha
human3_lib2.final_cell_0588	Donor3	alpha	alpha
human3_lib2.final_cell_0589	Donor3	alpha	alpha
human3_lib2.final_cell_0590	Donor3	alpha	alpha
human3_lib2.final_cell_0591	Donor3	alpha	alpha
human3_lib2.final_cell_0592	Donor3	alpha	alpha
human3_lib2.final_cell_0593	Donor3	activated_stellate	activated_stellate
human3_lib2.final_cell_0595	Donor3	alpha	alpha
human3_lib2.final_cell_0596	Donor3	gamma	gamma
human3_lib2.final_cell_0597	Donor3	alpha	alpha
human3_lib2.final_cell_0598	Donor3	alpha	alpha
human3_lib2.final_cell_0599	Donor3	ductal	ductal
human3_lib2.final_cell_0600	Donor3	alpha	alpha
human3_lib2.final_cell_0601	Donor3	alpha	alpha
human3_lib2.final_cell_0602	Donor3	alpha	alpha
human3_lib2.final_cell_0603	Donor3	alpha	alpha
human3_lib2.final_cell_0604	Donor3	alpha	alpha
human3_lib2.final_cell_0605	Donor3	quiescent_stellate	quiescent_stellate
human3_lib2.final_cell_0606	Donor3	ductal	ductal
human3_lib2.final_cell_0607	Donor3	ductal	ductal
human3_lib2.final_cell_0608	Donor3	acinar	acinar
human3_lib2.final_cell_0609	Donor3	delta	delta
human3_lib2.final_cell_0610	Donor3	alpha	alpha
human3_lib2.final_cell_0611	Donor3	ductal	ductal
human3_lib2.final_cell_0612	Donor3	alpha	alpha
human3_lib2.final_cell_0613	Donor3	alpha	alpha
human3_lib2.final_cell_0614	Donor3	acinar	acinar
human3_lib2.final_cell_0615	Donor3	delta	delta
human3_lib2.final_cell_0616	Donor3	acinar	acinar
human3_lib2.final_cell_0617	Donor3	alpha	alpha
human3_lib2.final_cell_0618	Donor3	alpha	alpha
human3_lib2.final_cell_0619	Donor3	alpha	alpha
human3_lib2.final_cell_0620	Donor3	acinar	acinar
human3_lib2.final_cell_0621	Donor3	activated_stellate	activated_stellate
human3_lib2.final_cell_0622	Donor3	beta	beta
human3_lib2.final_cell_0623	Donor3	acinar	acinar
human3_lib2.final_cell_0625	Donor3	alpha	alpha
human3_lib2.final_cell_0626	Donor3	acinar	acinar
human3_lib2.final_cell_0628	Donor3	alpha	alpha
human3_lib2.final_cell_0629	Donor3	alpha	alpha
human3_lib2.final_cell_0630	Donor3	ductal	ductal
human3_lib2.final_cell_0631	Donor3	alpha	alpha
human3_lib2.final_cell_0632	Donor3	ductal	ductal
human3_lib2.final_cell_0633	Donor3	alpha	alpha
human3_lib2.final_cell_0634	Donor3	alpha	alpha
human3_lib2.final_cell_0635	Donor3	alpha	alpha
human3_lib2.final_cell_0636	Donor3	acinar	acinar
human3_lib2.final_cell_0637	Donor3	ductal	ductal
human3_lib2.final_cell_0638	Donor3	acinar	acinar
human3_lib2.final_cell_0639	Donor3	alpha	alpha
human3_lib2.final_cell_0640	Donor3	delta	delta
human3_lib2.final_cell_0641	Donor3	alpha	alpha
human3_lib2.final_cell_0642	Donor3	alpha	alpha
human3_lib2.final_cell_0643	Donor3	acinar	acinar
human3_lib2.final_cell_0645	Donor3	alpha	alpha
human3_lib2.final_cell_0646	Donor3	acinar	acinar
human3_lib2.final_cell_0647	Donor3	endothelial	endothelial
human3_lib2.final_cell_0648	Donor3	beta	beta
human3_lib2.final_cell_0649	Donor3	alpha	alpha
human3_lib2.final_cell_0650	Donor3	activated_stellate	activated_stellate
human3_lib2.final_cell_0651	Donor3	activated_stellate	activated_stellate
human3_lib2.final_cell_0652	Donor3	acinar	acinar
human3_lib2.final_cell_0653	Donor3	alpha	alpha
human3_lib2.final_cell_0654	Donor3	alpha	alpha
human3_lib2.final_cell_0655	Donor3	alpha	alpha
human3_lib2.final_cell_0656	Donor3	alpha	alpha
human3_lib2.final_cell_0657	Donor3	ductal	ductal
human3_lib2.final_cell_0658	Donor3	alpha	alpha
human3_lib2.final_cell_0659	Donor3	endothelial	endothelial
human3_lib2.final_cell_0660	Donor3	activated_stellate	activated_stellate
human3_lib2.final_cell_0661	Donor3	alpha	alpha
human3_lib2.final_cell_0662	Donor3	alpha	alpha
human3_lib2.final_cell_0663	Donor3	beta	beta
human3_lib2.final_cell_0664	Donor3	alpha	alpha
human3_lib2.final_cell_0665	Donor3	beta	beta
human3_lib2.final_cell_0666	Donor3	alpha	alpha
human3_lib2.final_cell_0668	Donor3	quiescent_stellate	quiescent_stellate
human3_lib2.final_cell_0669	Donor3	alpha	alpha
human3_lib2.final_cell_0670	Donor3	ductal	ductal
human3_lib2.final_cell_0671	Donor3	acinar	acinar
human3_lib2.final_cell_0672	Donor3	beta	beta
human3_lib2.final_cell_0673	Donor3	mast	mast
human3_lib2.final_cell_0674	Donor3	acinar	acinar
human3_lib2.final_cell_0675	Donor3	acinar	acinar
human3_lib2.final_cell_0676	Donor3	beta	beta
human3_lib2.final_cell_0677	Donor3	beta	beta
human3_lib2.final_cell_0678	Donor3	beta	beta
human3_lib2.final_cell_0679	Donor3	alpha	alpha
human3_lib2.final_cell_0680	Donor3	alpha	alpha
human3_lib2.final_cell_0681	Donor3	activated_stellate	activated_stellate
human3_lib2.final_cell_0682	Donor3	alpha	alpha
human3_lib2.final_cell_0683	Donor3	alpha	alpha
human3_lib2.final_cell_0684	Donor3	acinar	acinar
human3_lib2.final_cell_0685	Donor3	acinar	acinar
human3_lib2.final_cell_0686	Donor3	ductal	ductal
human3_lib2.final_cell_0687	Donor3	beta	beta
human3_lib2.final_cell_0688	Donor3	alpha	alpha
human3_lib2.final_cell_0689	Donor3	acinar	acinar
human3_lib2.final_cell_0690	Donor3	ductal	ductal
human3_lib2.final_cell_0691	Donor3	beta	beta
human3_lib2.final_cell_0692	Donor3	alpha	alpha
human3_lib2.final_cell_0693	Donor3	ductal	ductal
human3_lib2.final_cell_0694	Donor3	alpha	alpha
human3_lib2.final_cell_0695	Donor3	ductal	ductal
human3_lib2.final_cell_0696	Donor3	alpha	alpha
human3_lib2.final_cell_0697	Donor3	activated_stellate	activated_stellate
human3_lib2.final_cell_0698	Donor3	ductal	ductal
human3_lib2.final_cell_0700	Donor3	alpha	alpha
human3_lib2.final_cell_0701	Donor3	quiescent_stellate	quiescent_stellate
human3_lib2.final_cell_0702	Donor3	delta	delta
human3_lib2.final_cell_0703	Donor3	beta	beta
human3_lib2.final_cell_0704	Donor3	alpha	alpha
human3_lib2.final_cell_0705	Donor3	ductal	ductal
human3_lib2.final_cell_0706	Donor3	alpha	alpha
human3_lib2.final_cell_0707	Donor3	alpha	alpha
human3_lib2.final_cell_0709	Donor3	alpha	alpha
human3_lib2.final_cell_0710	Donor3	acinar	acinar
human3_lib2.final_cell_0711	Donor3	alpha	alpha
human3_lib2.final_cell_0712	Donor3	quiescent_stellate	quiescent_stellate
human3_lib2.final_cell_0713	Donor3	ductal	ductal
human3_lib2.final_cell_0714	Donor3	alpha	alpha
human3_lib2.final_cell_0715	Donor3	ductal	ductal
human3_lib2.final_cell_0716	Donor3	activated_stellate	activated_stellate
human3_lib2.final_cell_0717	Donor3	alpha	alpha
human3_lib2.final_cell_0718	Donor3	beta	beta
human3_lib2.final_cell_0719	Donor3	alpha	alpha
human3_lib2.final_cell_0720	Donor3	acinar	acinar
human3_lib2.final_cell_0721	Donor3	acinar	acinar
human3_lib2.final_cell_0722	Donor3	alpha	alpha
human3_lib2.final_cell_0723	Donor3	alpha	alpha
human3_lib2.final_cell_0724	Donor3	alpha	alpha
human3_lib2.final_cell_0725	Donor3	ductal	ductal
human3_lib2.final_cell_0726	Donor3	beta	beta
human3_lib2.final_cell_0727	Donor3	alpha	alpha
human3_lib2.final_cell_0728	Donor3	acinar	acinar
human3_lib2.final_cell_0729	Donor3	activated_stellate	activated_stellate
human3_lib2.final_cell_0730	Donor3	alpha	alpha
human3_lib2.final_cell_0731	Donor3	beta	beta
human3_lib2.final_cell_0732	Donor3	alpha	alpha
human3_lib2.final_cell_0733	Donor3	beta	beta
human3_lib2.final_cell_0734	Donor3	beta	beta
human3_lib2.final_cell_0735	Donor3	beta	beta
human3_lib2.final_cell_0736	Donor3	alpha	alpha
human3_lib2.final_cell_0737	Donor3	macrophage	macrophage
human3_lib2.final_cell_0738	Donor3	ductal	ductal
human3_lib2.final_cell_0739	Donor3	alpha	alpha
human3_lib2.final_cell_0740	Donor3	beta	beta
human3_lib2.final_cell_0741	Donor3	alpha	alpha
human3_lib2.final_cell_0743	Donor3	ductal	ductal
human3_lib2.final_cell_0744	Donor3	alpha	alpha
human3_lib2.final_cell_0745	Donor3	alpha	alpha
human3_lib2.final_cell_0746	Donor3	alpha	alpha
human3_lib2.final_cell_0747	Donor3	alpha	alpha
human3_lib2.final_cell_0748	Donor3	alpha	alpha
human3_lib2.final_cell_0750	Donor3	alpha	alpha
human3_lib2.final_cell_0752	Donor3	ductal	ductal
human3_lib2.final_cell_0753	Donor3	ductal	ductal
human3_lib2.final_cell_0754	Donor3	ductal	ductal
human3_lib2.final_cell_0755	Donor3	alpha	alpha
human3_lib2.final_cell_0756	Donor3	ductal	ductal
human3_lib2.final_cell_0757	Donor3	activated_stellate	activated_stellate
human3_lib2.final_cell_0758	Donor3	alpha	alpha
human3_lib2.final_cell_0760	Donor3	activated_stellate	activated_stellate
human3_lib2.final_cell_0761	Donor3	alpha	alpha
human3_lib2.final_cell_0762	Donor3	acinar	acinar
human3_lib2.final_cell_0763	Donor3	acinar	acinar
human3_lib2.final_cell_0764	Donor3	alpha	alpha
human3_lib2.final_cell_0765	Donor3	delta	delta
human3_lib2.final_cell_0766	Donor3	endothelial	endothelial
human3_lib2.final_cell_0767	Donor3	quiescent_stellate	quiescent_stellate
human3_lib2.final_cell_0769	Donor3	beta	beta
human3_lib2.final_cell_0770	Donor3	alpha	alpha
human3_lib2.final_cell_0771	Donor3	activated_stellate	activated_stellate
human3_lib2.final_cell_0772	Donor3	alpha	alpha
human3_lib2.final_cell_0774	Donor3	acinar	acinar
human3_lib2.final_cell_0775	Donor3	alpha	alpha
human3_lib2.final_cell_0776	Donor3	delta	delta
human3_lib2.final_cell_0777	Donor3	acinar	acinar
human3_lib2.final_cell_0778	Donor3	quiescent_stellate	quiescent_stellate
human3_lib2.final_cell_0780	Donor3	alpha	alpha
human3_lib2.final_cell_0781	Donor3	alpha	alpha
human3_lib2.final_cell_0782	Donor3	ductal	ductal
human3_lib2.final_cell_0783	Donor3	alpha	alpha
human3_lib2.final_cell_0784	Donor3	alpha	alpha
human3_lib2.final_cell_0785	Donor3	alpha	alpha
human3_lib2.final_cell_0786	Donor3	alpha	alpha
human3_lib2.final_cell_0787	Donor3	alpha	alpha
human3_lib2.final_cell_0788	Donor3	gamma	gamma
human3_lib2.final_cell_0789	Donor3	alpha	alpha
human3_lib2.final_cell_0791	Donor3	beta	beta
human3_lib2.final_cell_0792	Donor3	delta	delta
human3_lib2.final_cell_0793	Donor3	alpha	alpha
human3_lib2.final_cell_0794	Donor3	activated_stellate	activated_stellate
human3_lib2.final_cell_0795	Donor3	alpha	alpha
human3_lib2.final_cell_0796	Donor3	quiescent_stellate	quiescent_stellate
human3_lib2.final_cell_0798	Donor3	mast	mast
human3_lib2.final_cell_0799	Donor3	alpha	alpha
human3_lib2.final_cell_0800	Donor3	acinar	acinar
human3_lib2.final_cell_0801	Donor3	alpha	alpha
human3_lib2.final_cell_0802	Donor3	alpha	alpha
human3_lib2.final_cell_0803	Donor3	endothelial	endothelial
human3_lib2.final_cell_0804	Donor3	beta	beta
human3_lib2.final_cell_0805	Donor3	macrophage	macrophage
human3_lib2.final_cell_0806	Donor3	ductal	ductal
human3_lib2.final_cell_0807	Donor3	beta	beta
human3_lib2.final_cell_0810	Donor3	alpha	alpha
human3_lib2.final_cell_0811	Donor3	beta	beta
human3_lib2.final_cell_0812	Donor3	alpha	alpha
human3_lib2.final_cell_0813	Donor3	mast	mast
human3_lib2.final_cell_0814	Donor3	alpha	alpha
human3_lib2.final_cell_0815	Donor3	alpha	alpha
human3_lib2.final_cell_0816	Donor3	beta	beta
human3_lib2.final_cell_0817	Donor3	endothelial	endothelial
human3_lib2.final_cell_0818	Donor3	acinar	acinar
human3_lib2.final_cell_0819	Donor3	endothelial	endothelial
human3_lib2.final_cell_0821	Donor3	beta	beta
human3_lib2.final_cell_0822	Donor3	alpha	alpha
human3_lib2.final_cell_0823	Donor3	quiescent_stellate	quiescent_stellate
human3_lib2.final_cell_0824	Donor3	ductal	ductal
human3_lib2.final_cell_0825	Donor3	ductal	ductal
human3_lib2.final_cell_0827	Donor3	beta	beta
human3_lib2.final_cell_0828	Donor3	alpha	alpha
human3_lib2.final_cell_0832	Donor3	quiescent_stellate	quiescent_stellate
human3_lib2.final_cell_0833	Donor3	quiescent_stellate	quiescent_stellate
human3_lib2.final_cell_0834	Donor3	beta	beta
human3_lib2.final_cell_0835	Donor3	alpha	alpha
human3_lib2.final_cell_0836	Donor3	delta	delta
human3_lib2.final_cell_0837	Donor3	alpha	alpha
human3_lib2.final_cell_0838	Donor3	ductal	ductal
human3_lib2.final_cell_0839	Donor3	acinar	acinar
human3_lib2.final_cell_0840	Donor3	alpha	alpha
human3_lib2.final_cell_0841	Donor3	alpha	alpha
human3_lib2.final_cell_0842	Donor3	alpha	alpha
human3_lib2.final_cell_0843	Donor3	quiescent_stellate	quiescent_stellate
human3_lib2.final_cell_0844	Donor3	alpha	alpha
human3_lib2.final_cell_0846	Donor3	endothelial	endothelial
human3_lib2.final_cell_0847	Donor3	activated_stellate	activated_stellate
human3_lib2.final_cell_0848	Donor3	alpha	alpha
human3_lib2.final_cell_0849	Donor3	alpha	alpha
human3_lib2.final_cell_0851	Donor3	alpha	alpha
human3_lib2.final_cell_0852	Donor3	beta	beta
human3_lib2.final_cell_0854	Donor3	alpha	alpha
human3_lib2.final_cell_0855	Donor3	ductal	ductal
human3_lib2.final_cell_0856	Donor3	endothelial	endothelial
human3_lib2.final_cell_0857	Donor3	endothelial	endothelial
human3_lib2.final_cell_0858	Donor3	endothelial	endothelial
human3_lib2.final_cell_0861	Donor3	quiescent_stellate	quiescent_stellate
human3_lib2.final_cell_0863	Donor3	beta	beta
human3_lib2.final_cell_0866	Donor3	ductal	ductal
human3_lib2.final_cell_0868	Donor3	ductal	ductal
human3_lib2.final_cell_0869	Donor3	endothelial	endothelial
human3_lib2.final_cell_0870	Donor3	endothelial	endothelial
human3_lib2.final_cell_0871	Donor3	alpha	alpha
human3_lib2.final_cell_0873	Donor3	activated_stellate	activated_stellate
human3_lib2.final_cell_0874	Donor3	beta	beta
human3_lib2.final_cell_0875	Donor3	alpha	alpha
human3_lib3.final_cell_0003	Donor3	acinar	acinar
human3_lib3.final_cell_0004	Donor3	acinar	acinar
human3_lib3.final_cell_0008	Donor3	acinar	acinar
human3_lib3.final_cell_0010	Donor3	acinar	acinar
human3_lib3.final_cell_0013	Donor3	acinar	acinar
human3_lib3.final_cell_0014	Donor3	acinar	acinar
human3_lib3.final_cell_0015	Donor3	acinar	acinar
human3_lib3.final_cell_0016	Donor3	acinar	acinar
human3_lib3.final_cell_0018	Donor3	acinar	acinar
human3_lib3.final_cell_0019	Donor3	acinar	acinar
human3_lib3.final_cell_0020	Donor3	acinar	acinar
human3_lib3.final_cell_0021	Donor3	acinar	acinar
human3_lib3.final_cell_0022	Donor3	acinar	acinar
human3_lib3.final_cell_0023	Donor3	acinar	acinar
human3_lib3.final_cell_0024	Donor3	acinar	acinar
human3_lib3.final_cell_0025	Donor3	acinar	acinar
human3_lib3.final_cell_0026	Donor3	acinar	acinar
human3_lib3.final_cell_0027	Donor3	acinar	acinar
human3_lib3.final_cell_0028	Donor3	acinar	acinar
human3_lib3.final_cell_0029	Donor3	acinar	acinar
human3_lib3.final_cell_0030	Donor3	acinar	acinar
human3_lib3.final_cell_0031	Donor3	acinar	acinar
human3_lib3.final_cell_0032	Donor3	alpha	alpha
human3_lib3.final_cell_0033	Donor3	acinar	acinar
human3_lib3.final_cell_0034	Donor3	delta	delta
human3_lib3.final_cell_0035	Donor3	acinar	acinar
human3_lib3.final_cell_0036	Donor3	acinar	acinar
human3_lib3.final_cell_0037	Donor3	acinar	acinar
human3_lib3.final_cell_0038	Donor3	acinar	acinar
human3_lib3.final_cell_0039	Donor3	acinar	acinar
human3_lib3.final_cell_0040	Donor3	acinar	acinar
human3_lib3.final_cell_0041	Donor3	acinar	acinar
human3_lib3.final_cell_0042	Donor3	acinar	acinar
human3_lib3.final_cell_0043	Donor3	acinar	acinar
human3_lib3.final_cell_0044	Donor3	acinar	acinar
human3_lib3.final_cell_0045	Donor3	acinar	acinar
human3_lib3.final_cell_0046	Donor3	acinar	acinar
human3_lib3.final_cell_0047	Donor3	acinar	acinar
human3_lib3.final_cell_0048	Donor3	acinar	acinar
human3_lib3.final_cell_0049	Donor3	acinar	acinar
human3_lib3.final_cell_0050	Donor3	acinar	acinar
human3_lib3.final_cell_0051	Donor3	acinar	acinar
human3_lib3.final_cell_0053	Donor3	acinar	acinar
human3_lib3.final_cell_0054	Donor3	beta	beta
human3_lib3.final_cell_0055	Donor3	acinar	acinar
human3_lib3.final_cell_0056	Donor3	acinar	acinar
human3_lib3.final_cell_0057	Donor3	acinar	acinar
human3_lib3.final_cell_0058	Donor3	acinar	acinar
human3_lib3.final_cell_0059	Donor3	acinar	acinar
human3_lib3.final_cell_0060	Donor3	acinar	acinar
human3_lib3.final_cell_0061	Donor3	acinar	acinar
human3_lib3.final_cell_0062	Donor3	acinar	acinar
human3_lib3.final_cell_0063	Donor3	acinar	acinar
human3_lib3.final_cell_0064	Donor3	acinar	acinar
human3_lib3.final_cell_0065	Donor3	acinar	acinar
human3_lib3.final_cell_0066	Donor3	acinar	acinar
human3_lib3.final_cell_0067	Donor3	acinar	acinar
human3_lib3.final_cell_0068	Donor3	acinar	acinar
human3_lib3.final_cell_0069	Donor3	acinar	acinar
human3_lib3.final_cell_0070	Donor3	acinar	acinar
human3_lib3.final_cell_0071	Donor3	acinar	acinar
human3_lib3.final_cell_0072	Donor3	acinar	acinar
human3_lib3.final_cell_0073	Donor3	acinar	acinar
human3_lib3.final_cell_0074	Donor3	acinar	acinar
human3_lib3.final_cell_0075	Donor3	acinar	acinar
human3_lib3.final_cell_0076	Donor3	acinar	acinar
human3_lib3.final_cell_0077	Donor3	acinar	acinar
human3_lib3.final_cell_0078	Donor3	acinar	acinar
human3_lib3.final_cell_0079	Donor3	acinar	acinar
human3_lib3.final_cell_0080	Donor3	acinar	acinar
human3_lib3.final_cell_0081	Donor3	acinar	acinar
human3_lib3.final_cell_0082	Donor3	acinar	acinar
human3_lib3.final_cell_0083	Donor3	ductal	ductal
human3_lib3.final_cell_0084	Donor3	acinar	acinar
human3_lib3.final_cell_0085	Donor3	acinar	acinar
human3_lib3.final_cell_0086	Donor3	beta	beta
human3_lib3.final_cell_0087	Donor3	beta	beta
human3_lib3.final_cell_0088	Donor3	acinar	acinar
human3_lib3.final_cell_0089	Donor3	acinar	acinar
human3_lib3.final_cell_0090	Donor3	acinar	acinar
human3_lib3.final_cell_0091	Donor3	delta	delta
human3_lib3.final_cell_0092	Donor3	acinar	acinar
human3_lib3.final_cell_0093	Donor3	beta	beta
human3_lib3.final_cell_0094	Donor3	acinar	acinar
human3_lib3.final_cell_0095	Donor3	acinar	acinar
human3_lib3.final_cell_0096	Donor3	acinar	acinar
human3_lib3.final_cell_0097	Donor3	alpha	alpha
human3_lib3.final_cell_0098	Donor3	acinar	acinar
human3_lib3.final_cell_0099	Donor3	acinar	acinar
human3_lib3.final_cell_0100	Donor3	acinar	acinar
human3_lib3.final_cell_0101	Donor3	acinar	acinar
human3_lib3.final_cell_0102	Donor3	delta	delta
human3_lib3.final_cell_0103	Donor3	acinar	acinar
human3_lib3.final_cell_0104	Donor3	alpha	alpha
human3_lib3.final_cell_0105	Donor3	beta	beta
human3_lib3.final_cell_0106	Donor3	acinar	acinar
human3_lib3.final_cell_0107	Donor3	beta	beta
human3_lib3.final_cell_0108	Donor3	beta	beta
human3_lib3.final_cell_0109	Donor3	acinar	acinar
human3_lib3.final_cell_0110	Donor3	ductal	ductal
human3_lib3.final_cell_0111	Donor3	acinar	acinar
human3_lib3.final_cell_0112	Donor3	beta	beta
human3_lib3.final_cell_0113	Donor3	acinar	acinar
human3_lib3.final_cell_0114	Donor3	alpha	alpha
human3_lib3.final_cell_0115	Donor3	alpha	alpha
human3_lib3.final_cell_0116	Donor3	alpha	alpha
human3_lib3.final_cell_0117	Donor3	activated_stellate	activated_stellate
human3_lib3.final_cell_0118	Donor3	acinar	acinar
human3_lib3.final_cell_0119	Donor3	acinar	acinar
human3_lib3.final_cell_0120	Donor3	acinar	acinar
human3_lib3.final_cell_0121	Donor3	beta	beta
human3_lib3.final_cell_0122	Donor3	acinar	acinar
human3_lib3.final_cell_0123	Donor3	acinar	acinar
human3_lib3.final_cell_0124	Donor3	beta	beta
human3_lib3.final_cell_0125	Donor3	alpha	alpha
human3_lib3.final_cell_0126	Donor3	acinar	acinar
human3_lib3.final_cell_0127	Donor3	alpha	alpha
