Barcode	Origi	Set
human3_lib1.final_cell_0604	activated_stellate	Donor3
human3_lib1.final_cell_0605	endothelial	Donor3
human3_lib1.final_cell_0606	beta	Donor3
human3_lib1.final_cell_0607	alpha	Donor3
human3_lib1.final_cell_0608	ductal	Donor3
human3_lib1.final_cell_0609	alpha	Donor3
human3_lib1.final_cell_0610	beta	Donor3
human3_lib1.final_cell_0611	alpha	Donor3
human3_lib1.final_cell_0612	alpha	Donor3
human3_lib1.final_cell_0613	quiescent_stellate	Donor3
human3_lib1.final_cell_0614	ductal	Donor3
human3_lib1.final_cell_0615	ductal	Donor3
human3_lib1.final_cell_0616	alpha	Donor3
human3_lib1.final_cell_0617	alpha	Donor3
human3_lib1.final_cell_0618	acinar	Donor3
human3_lib1.final_cell_0619	acinar	Donor3
human3_lib1.final_cell_0620	alpha	Donor3
human3_lib1.final_cell_0621	beta	Donor3
human3_lib1.final_cell_0622	alpha	Donor3
human3_lib1.final_cell_0623	delta	Donor3
human3_lib1.final_cell_0624	alpha	Donor3
human3_lib1.final_cell_0625	acinar	Donor3
human3_lib1.final_cell_0626	beta	Donor3
human3_lib1.final_cell_0627	acinar	Donor3
human3_lib1.final_cell_0628	acinar	Donor3
human3_lib1.final_cell_0629	alpha	Donor3
human3_lib1.final_cell_0630	ductal	Donor3
human3_lib1.final_cell_0631	alpha	Donor3
human3_lib1.final_cell_0632	alpha	Donor3
human3_lib1.final_cell_0633	endothelial	Donor3
human3_lib1.final_cell_0634	ductal	Donor3
human3_lib1.final_cell_0635	ductal	Donor3
human3_lib1.final_cell_0636	ductal	Donor3
human3_lib1.final_cell_0637	alpha	Donor3
human3_lib1.final_cell_0638	alpha	Donor3
human3_lib1.final_cell_0639	activated_stellate	Donor3
human3_lib1.final_cell_0640	beta	Donor3
human3_lib1.final_cell_0641	alpha	Donor3
human3_lib1.final_cell_0642	acinar	Donor3
human3_lib1.final_cell_0643	gamma	Donor3
human3_lib1.final_cell_0644	alpha	Donor3
human3_lib1.final_cell_0645	alpha	Donor3
human3_lib1.final_cell_0646	ductal	Donor3
human3_lib1.final_cell_0647	mast	Donor3
human3_lib1.final_cell_0648	ductal	Donor3
human3_lib1.final_cell_0649	alpha	Donor3
human3_lib1.final_cell_0650	acinar	Donor3
human3_lib1.final_cell_0651	alpha	Donor3
human3_lib1.final_cell_0652	quiescent_stellate	Donor3
human3_lib1.final_cell_0653	activated_stellate	Donor3
human3_lib1.final_cell_0655	acinar	Donor3
human3_lib1.final_cell_0656	alpha	Donor3
human3_lib1.final_cell_0657	alpha	Donor3
human3_lib1.final_cell_0658	alpha	Donor3
human3_lib1.final_cell_0659	ductal	Donor3
human3_lib1.final_cell_0660	acinar	Donor3
human3_lib1.final_cell_0661	acinar	Donor3
human3_lib1.final_cell_0662	endothelial	Donor3
human3_lib1.final_cell_0663	ductal	Donor3
human3_lib1.final_cell_0664	alpha	Donor3
human3_lib1.final_cell_0665	delta	Donor3
human3_lib1.final_cell_0666	alpha	Donor3
human3_lib1.final_cell_0667	ductal	Donor3
human3_lib1.final_cell_0668	alpha	Donor3
human3_lib1.final_cell_0669	activated_stellate	Donor3
human3_lib1.final_cell_0670	ductal	Donor3
human3_lib1.final_cell_0671	beta	Donor3
human3_lib1.final_cell_0672	ductal	Donor3
human3_lib1.final_cell_0673	beta	Donor3
human3_lib1.final_cell_0674	alpha	Donor3
human3_lib1.final_cell_0675	alpha	Donor3
human3_lib1.final_cell_0676	ductal	Donor3
human3_lib1.final_cell_0677	alpha	Donor3
human3_lib1.final_cell_0678	alpha	Donor3
human3_lib1.final_cell_0679	alpha	Donor3
human3_lib1.final_cell_0680	alpha	Donor3
human3_lib1.final_cell_0681	alpha	Donor3
human3_lib1.final_cell_0682	activated_stellate	Donor3
human3_lib1.final_cell_0683	acinar	Donor3
human3_lib1.final_cell_0685	alpha	Donor3
human3_lib1.final_cell_0686	quiescent_stellate	Donor3
human3_lib1.final_cell_0687	alpha	Donor3
human3_lib1.final_cell_0688	alpha	Donor3
human3_lib1.final_cell_0689	alpha	Donor3
human3_lib1.final_cell_0690	alpha	Donor3
human3_lib1.final_cell_0691	activated_stellate	Donor3
human3_lib1.final_cell_0692	alpha	Donor3
human3_lib1.final_cell_0693	alpha	Donor3
human3_lib1.final_cell_0694	alpha	Donor3
human3_lib1.final_cell_0695	alpha	Donor3
human3_lib1.final_cell_0697	endothelial	Donor3
human3_lib1.final_cell_0698	acinar	Donor3
human3_lib1.final_cell_0699	alpha	Donor3
human3_lib1.final_cell_0700	quiescent_stellate	Donor3
human3_lib1.final_cell_0701	alpha	Donor3
human3_lib1.final_cell_0702	ductal	Donor3
human3_lib1.final_cell_0703	alpha	Donor3
human3_lib1.final_cell_0704	quiescent_stellate	Donor3
human3_lib1.final_cell_0705	alpha	Donor3
human3_lib1.final_cell_0706	ductal	Donor3
human3_lib1.final_cell_0708	alpha	Donor3
human3_lib1.final_cell_0709	ductal	Donor3
human3_lib1.final_cell_0710	activated_stellate	Donor3
human3_lib1.final_cell_0711	ductal	Donor3
human3_lib1.final_cell_0712	alpha	Donor3
human3_lib1.final_cell_0713	beta	Donor3
human3_lib1.final_cell_0714	beta	Donor3
human3_lib1.final_cell_0715	alpha	Donor3
human3_lib1.final_cell_0716	alpha	Donor3
human3_lib1.final_cell_0717	alpha	Donor3
human3_lib1.final_cell_0718	delta	Donor3
human3_lib1.final_cell_0719	ductal	Donor3
human3_lib1.final_cell_0720	endothelial	Donor3
human3_lib1.final_cell_0722	alpha	Donor3
human3_lib1.final_cell_0723	alpha	Donor3
human3_lib1.final_cell_0724	ductal	Donor3
human3_lib1.final_cell_0725	endothelial	Donor3
human3_lib1.final_cell_0726	alpha	Donor3
human3_lib1.final_cell_0727	alpha	Donor3
human3_lib1.final_cell_0729	alpha	Donor3
human3_lib1.final_cell_0730	ductal	Donor3
human3_lib1.final_cell_0731	alpha	Donor3
human3_lib1.final_cell_0732	acinar	Donor3
human3_lib1.final_cell_0733	gamma	Donor3
human3_lib1.final_cell_0734	endothelial	Donor3
human3_lib1.final_cell_0735	alpha	Donor3
human3_lib1.final_cell_0736	ductal	Donor3
human3_lib1.final_cell_0737	alpha	Donor3
human3_lib1.final_cell_0739	endothelial	Donor3
human3_lib1.final_cell_0740	endothelial	Donor3
human3_lib1.final_cell_0742	alpha	Donor3
human3_lib1.final_cell_0743	ductal	Donor3
human3_lib1.final_cell_0744	alpha	Donor3
human3_lib1.final_cell_0745	alpha	Donor3
human3_lib1.final_cell_0746	alpha	Donor3
human3_lib1.final_cell_0747	activated_stellate	Donor3
human3_lib1.final_cell_0748	alpha	Donor3
human3_lib1.final_cell_0749	quiescent_stellate	Donor3
human3_lib1.final_cell_0750	beta	Donor3
human3_lib1.final_cell_0751	delta	Donor3
human3_lib1.final_cell_0752	beta	Donor3
human3_lib1.final_cell_0753	activated_stellate	Donor3
human3_lib1.final_cell_0754	endothelial	Donor3
human3_lib1.final_cell_0755	delta	Donor3
human3_lib1.final_cell_0756	ductal	Donor3
human3_lib1.final_cell_0758	beta	Donor3
human3_lib1.final_cell_0759	alpha	Donor3
human3_lib1.final_cell_0760	endothelial	Donor3
human3_lib1.final_cell_0761	activated_stellate	Donor3
human3_lib1.final_cell_0762	alpha	Donor3
human3_lib1.final_cell_0763	alpha	Donor3
human3_lib1.final_cell_0765	ductal	Donor3
human3_lib1.final_cell_0767	quiescent_stellate	Donor3
human3_lib1.final_cell_0768	gamma	Donor3
human3_lib1.final_cell_0769	alpha	Donor3
human3_lib1.final_cell_0770	beta	Donor3
human3_lib1.final_cell_0771	acinar	Donor3
human3_lib1.final_cell_0772	ductal	Donor3
human3_lib1.final_cell_0773	alpha	Donor3
human3_lib1.final_cell_0774	endothelial	Donor3
human3_lib1.final_cell_0776	alpha	Donor3
human3_lib1.final_cell_0777	acinar	Donor3
human3_lib1.final_cell_0778	acinar	Donor3
human3_lib1.final_cell_0779	alpha	Donor3
human3_lib1.final_cell_0780	alpha	Donor3
human3_lib1.final_cell_0781	beta	Donor3
human3_lib1.final_cell_0783	alpha	Donor3
human3_lib1.final_cell_0784	quiescent_stellate	Donor3
human3_lib1.final_cell_0785	alpha	Donor3
human3_lib1.final_cell_0786	endothelial	Donor3
human3_lib1.final_cell_0787	quiescent_stellate	Donor3
human3_lib1.final_cell_0789	beta	Donor3
human3_lib1.final_cell_0790	acinar	Donor3
human3_lib1.final_cell_0792	alpha	Donor3
human3_lib1.final_cell_0793	ductal	Donor3
human3_lib1.final_cell_0794	acinar	Donor3
human3_lib1.final_cell_0795	beta	Donor3
human3_lib1.final_cell_0796	alpha	Donor3
human3_lib1.final_cell_0797	alpha	Donor3
human3_lib1.final_cell_0798	endothelial	Donor3
human3_lib1.final_cell_0799	alpha	Donor3
human3_lib1.final_cell_0800	alpha	Donor3
human3_lib1.final_cell_0802	quiescent_stellate	Donor3
human3_lib1.final_cell_0806	alpha	Donor3
human3_lib1.final_cell_0807	alpha	Donor3
human3_lib1.final_cell_0808	alpha	Donor3
human3_lib1.final_cell_0809	alpha	Donor3
human3_lib1.final_cell_0810	acinar	Donor3
human3_lib1.final_cell_0812	acinar	Donor3
human3_lib1.final_cell_0813	alpha	Donor3
human3_lib1.final_cell_0814	ductal	Donor3
human3_lib1.final_cell_0815	delta	Donor3
human3_lib1.final_cell_0816	delta	Donor3
human3_lib1.final_cell_0818	alpha	Donor3
human3_lib1.final_cell_0819	alpha	Donor3
human3_lib1.final_cell_0820	activated_stellate	Donor3
human3_lib1.final_cell_0822	beta	Donor3
human3_lib1.final_cell_0823	endothelial	Donor3
human3_lib1.final_cell_0824	endothelial	Donor3
human3_lib1.final_cell_0825	beta	Donor3
human3_lib1.final_cell_0826	alpha	Donor3
human3_lib1.final_cell_0827	ductal	Donor3
human3_lib1.final_cell_0828	alpha	Donor3
human3_lib1.final_cell_0829	alpha	Donor3
human3_lib1.final_cell_0830	alpha	Donor3
human3_lib1.final_cell_0831	endothelial	Donor3
human3_lib1.final_cell_0832	alpha	Donor3
human3_lib1.final_cell_0833	alpha	Donor3
human3_lib1.final_cell_0835	ductal	Donor3
human3_lib1.final_cell_0838	alpha	Donor3
human3_lib1.final_cell_0839	alpha	Donor3
human3_lib1.final_cell_0841	ductal	Donor3
human3_lib1.final_cell_0842	quiescent_stellate	Donor3
human3_lib1.final_cell_0843	alpha	Donor3
human3_lib1.final_cell_0844	ductal	Donor3
human3_lib1.final_cell_0847	delta	Donor3
human3_lib1.final_cell_0848	quiescent_stellate	Donor3
human3_lib1.final_cell_0849	delta	Donor3
human3_lib1.final_cell_0851	ductal	Donor3
human3_lib1.final_cell_0852	beta	Donor3
human3_lib1.final_cell_0853	endothelial	Donor3
human3_lib1.final_cell_0855	endothelial	Donor3
human3_lib1.final_cell_0856	beta	Donor3
human3_lib1.final_cell_0857	ductal	Donor3
human3_lib1.final_cell_0858	ductal	Donor3
human3_lib1.final_cell_0859	alpha	Donor3
human3_lib1.final_cell_0860	alpha	Donor3
human3_lib1.final_cell_0861	gamma	Donor3
human3_lib1.final_cell_0863	endothelial	Donor3
human3_lib1.final_cell_0864	endothelial	Donor3
human3_lib1.final_cell_0866	alpha	Donor3
human3_lib1.final_cell_0870	beta	Donor3
human3_lib1.final_cell_0871	ductal	Donor3
human3_lib1.final_cell_0872	quiescent_stellate	Donor3
human3_lib1.final_cell_0874	alpha	Donor3
human3_lib1.final_cell_0875	beta	Donor3
human3_lib1.final_cell_0876	alpha	Donor3
human3_lib1.final_cell_0878	beta	Donor3
human3_lib1.final_cell_0880	beta	Donor3
human3_lib1.final_cell_0882	alpha	Donor3
human3_lib1.final_cell_0884	endothelial	Donor3
human3_lib1.final_cell_0885	quiescent_stellate	Donor3
human3_lib1.final_cell_0888	beta	Donor3
human3_lib1.final_cell_0889	beta	Donor3
human3_lib1.final_cell_0890	quiescent_stellate	Donor3
human3_lib1.final_cell_0891	endothelial	Donor3
human3_lib1.final_cell_0892	alpha	Donor3
human3_lib1.final_cell_0893	alpha	Donor3
human3_lib1.final_cell_0894	beta	Donor3
human3_lib1.final_cell_0895	ductal	Donor3
human3_lib1.final_cell_0896	endothelial	Donor3
human3_lib1.final_cell_0897	endothelial	Donor3
human3_lib2.final_cell_0007	acinar	Donor3
human3_lib2.final_cell_0011	acinar	Donor3
human3_lib2.final_cell_0012	acinar	Donor3
human3_lib2.final_cell_0013	acinar	Donor3
human3_lib2.final_cell_0014	acinar	Donor3
human3_lib2.final_cell_0015	acinar	Donor3
human3_lib2.final_cell_0016	delta	Donor3
human3_lib2.final_cell_0017	acinar	Donor3
human3_lib2.final_cell_0018	acinar	Donor3
human3_lib2.final_cell_0019	acinar	Donor3
human3_lib2.final_cell_0020	acinar	Donor3
human3_lib2.final_cell_0021	acinar	Donor3
human3_lib2.final_cell_0022	acinar	Donor3
human3_lib2.final_cell_0024	acinar	Donor3
human3_lib2.final_cell_0025	acinar	Donor3
human3_lib2.final_cell_0027	acinar	Donor3
human3_lib2.final_cell_0028	acinar	Donor3
human3_lib2.final_cell_0029	acinar	Donor3
human3_lib2.final_cell_0030	beta	Donor3
human3_lib2.final_cell_0031	acinar	Donor3
human3_lib2.final_cell_0032	acinar	Donor3
human3_lib2.final_cell_0033	acinar	Donor3
human3_lib2.final_cell_0034	acinar	Donor3
human3_lib2.final_cell_0036	acinar	Donor3
human3_lib2.final_cell_0037	acinar	Donor3
human3_lib2.final_cell_0038	acinar	Donor3
human3_lib2.final_cell_0039	acinar	Donor3
human3_lib2.final_cell_0040	beta	Donor3
human3_lib2.final_cell_0041	acinar	Donor3
human3_lib2.final_cell_0042	acinar	Donor3
human3_lib2.final_cell_0043	acinar	Donor3
human3_lib2.final_cell_0044	acinar	Donor3
human3_lib2.final_cell_0045	acinar	Donor3
human3_lib2.final_cell_0046	acinar	Donor3
human3_lib2.final_cell_0047	acinar	Donor3
human3_lib2.final_cell_0048	acinar	Donor3
human3_lib2.final_cell_0049	acinar	Donor3
human3_lib2.final_cell_0050	beta	Donor3
human3_lib2.final_cell_0051	acinar	Donor3
human3_lib2.final_cell_0052	acinar	Donor3
human3_lib2.final_cell_0053	acinar	Donor3
human3_lib2.final_cell_0054	acinar	Donor3
human3_lib2.final_cell_0055	acinar	Donor3
human3_lib2.final_cell_0056	acinar	Donor3
human3_lib2.final_cell_0057	acinar	Donor3
human3_lib2.final_cell_0058	acinar	Donor3
human3_lib2.final_cell_0059	acinar	Donor3
human3_lib2.final_cell_0060	acinar	Donor3
human3_lib2.final_cell_0061	acinar	Donor3
human3_lib2.final_cell_0062	acinar	Donor3
human3_lib2.final_cell_0063	acinar	Donor3
human3_lib2.final_cell_0064	acinar	Donor3
human3_lib2.final_cell_0065	beta	Donor3
human3_lib2.final_cell_0066	delta	Donor3
human3_lib2.final_cell_0067	acinar	Donor3
human3_lib2.final_cell_0068	ductal	Donor3
human3_lib2.final_cell_0069	acinar	Donor3
human3_lib2.final_cell_0070	delta	Donor3
human3_lib2.final_cell_0071	acinar	Donor3
human3_lib2.final_cell_0072	acinar	Donor3
human3_lib2.final_cell_0073	acinar	Donor3
human3_lib2.final_cell_0074	acinar	Donor3
human3_lib2.final_cell_0075	acinar	Donor3
human3_lib2.final_cell_0076	acinar	Donor3
human3_lib2.final_cell_0077	beta	Donor3
human3_lib2.final_cell_0078	acinar	Donor3
human3_lib2.final_cell_0079	acinar	Donor3
human3_lib2.final_cell_0080	acinar	Donor3
human3_lib2.final_cell_0081	acinar	Donor3
human3_lib2.final_cell_0082	acinar	Donor3
human3_lib2.final_cell_0083	acinar	Donor3
human3_lib2.final_cell_0084	acinar	Donor3
human3_lib2.final_cell_0085	beta	Donor3
human3_lib2.final_cell_0086	acinar	Donor3
human3_lib2.final_cell_0087	delta	Donor3
human3_lib2.final_cell_0088	acinar	Donor3
human3_lib2.final_cell_0089	beta	Donor3
human3_lib2.final_cell_0090	acinar	Donor3
human3_lib2.final_cell_0091	acinar	Donor3
human3_lib2.final_cell_0092	delta	Donor3
human3_lib2.final_cell_0093	acinar	Donor3
human3_lib2.final_cell_0094	acinar	Donor3
human3_lib2.final_cell_0095	delta	Donor3
human3_lib2.final_cell_0096	acinar	Donor3
human3_lib2.final_cell_0097	acinar	Donor3
human3_lib2.final_cell_0098	acinar	Donor3
human3_lib2.final_cell_0099	acinar	Donor3
human3_lib2.final_cell_0100	acinar	Donor3
human3_lib2.final_cell_0101	acinar	Donor3
human3_lib2.final_cell_0102	acinar	Donor3
human3_lib2.final_cell_0103	delta	Donor3
human3_lib2.final_cell_0104	acinar	Donor3
human3_lib2.final_cell_0105	acinar	Donor3
human3_lib2.final_cell_0106	beta	Donor3
human3_lib2.final_cell_0107	acinar	Donor3
human3_lib2.final_cell_0108	acinar	Donor3
human3_lib2.final_cell_0109	acinar	Donor3
human3_lib2.final_cell_0110	acinar	Donor3
human3_lib2.final_cell_0111	alpha	Donor3
human3_lib2.final_cell_0112	acinar	Donor3
human3_lib2.final_cell_0113	beta	Donor3
human3_lib2.final_cell_0114	alpha	Donor3
human3_lib2.final_cell_0115	acinar	Donor3
human3_lib2.final_cell_0116	acinar	Donor3
human3_lib2.final_cell_0117	acinar	Donor3
human3_lib2.final_cell_0118	acinar	Donor3
human3_lib2.final_cell_0119	acinar	Donor3
human3_lib2.final_cell_0120	acinar	Donor3
human3_lib2.final_cell_0121	gamma	Donor3
human3_lib2.final_cell_0122	ductal	Donor3
human3_lib2.final_cell_0123	acinar	Donor3
human3_lib2.final_cell_0124	acinar	Donor3
human3_lib2.final_cell_0125	acinar	Donor3
human3_lib2.final_cell_0126	acinar	Donor3
human3_lib2.final_cell_0127	acinar	Donor3
human3_lib2.final_cell_0128	ductal	Donor3
human3_lib2.final_cell_0129	acinar	Donor3
human3_lib2.final_cell_0130	acinar	Donor3
human3_lib2.final_cell_0131	delta	Donor3
human3_lib2.final_cell_0132	beta	Donor3
human3_lib2.final_cell_0133	alpha	Donor3
human3_lib2.final_cell_0134	acinar	Donor3
human3_lib2.final_cell_0135	acinar	Donor3
human3_lib2.final_cell_0136	delta	Donor3
human3_lib2.final_cell_0137	beta	Donor3
human3_lib2.final_cell_0138	acinar	Donor3
human3_lib2.final_cell_0139	beta	Donor3
human3_lib2.final_cell_0140	acinar	Donor3
human3_lib2.final_cell_0141	ductal	Donor3
human3_lib2.final_cell_0142	alpha	Donor3
human3_lib2.final_cell_0143	ductal	Donor3
human3_lib2.final_cell_0144	beta	Donor3
human3_lib2.final_cell_0145	alpha	Donor3
human3_lib2.final_cell_0146	beta	Donor3
human3_lib2.final_cell_0147	alpha	Donor3
human3_lib2.final_cell_0148	acinar	Donor3
human3_lib2.final_cell_0149	delta	Donor3
human3_lib2.final_cell_0150	beta	Donor3
human3_lib2.final_cell_0151	beta	Donor3
human3_lib2.final_cell_0152	alpha	Donor3
human3_lib2.final_cell_0153	beta	Donor3
human3_lib2.final_cell_0154	alpha	Donor3
human3_lib2.final_cell_0155	delta	Donor3
human3_lib2.final_cell_0156	alpha	Donor3
human3_lib2.final_cell_0157	beta	Donor3
human3_lib2.final_cell_0158	acinar	Donor3
human3_lib2.final_cell_0159	acinar	Donor3
human3_lib2.final_cell_0160	acinar	Donor3
human3_lib2.final_cell_0161	ductal	Donor3
human3_lib2.final_cell_0162	ductal	Donor3
human3_lib2.final_cell_0163	beta	Donor3
human3_lib2.final_cell_0164	acinar	Donor3
human3_lib2.final_cell_0165	delta	Donor3
human3_lib2.final_cell_0166	beta	Donor3
human3_lib2.final_cell_0167	gamma	Donor3
human3_lib2.final_cell_0168	acinar	Donor3
human3_lib2.final_cell_0169	beta	Donor3
human3_lib2.final_cell_0170	beta	Donor3
human3_lib2.final_cell_0171	acinar	Donor3
human3_lib2.final_cell_0172	acinar	Donor3
human3_lib2.final_cell_0173	alpha	Donor3
human3_lib2.final_cell_0174	acinar	Donor3
human3_lib2.final_cell_0175	beta	Donor3
human3_lib2.final_cell_0176	alpha	Donor3
human3_lib2.final_cell_0177	beta	Donor3
human3_lib2.final_cell_0178	alpha	Donor3
human3_lib2.final_cell_0179	gamma	Donor3
human3_lib2.final_cell_0180	acinar	Donor3
human3_lib2.final_cell_0181	alpha	Donor3
human3_lib2.final_cell_0182	beta	Donor3
human3_lib2.final_cell_0183	acinar	Donor3
human3_lib2.final_cell_0184	acinar	Donor3
human3_lib2.final_cell_0185	delta	Donor3
human3_lib2.final_cell_0186	alpha	Donor3
human3_lib2.final_cell_0187	ductal	Donor3
human3_lib2.final_cell_0188	delta	Donor3
human3_lib2.final_cell_0189	delta	Donor3
human3_lib2.final_cell_0190	alpha	Donor3
human3_lib2.final_cell_0191	ductal	Donor3
human3_lib2.final_cell_0193	beta	Donor3
human3_lib2.final_cell_0194	delta	Donor3
human3_lib2.final_cell_0195	alpha	Donor3
human3_lib2.final_cell_0196	beta	Donor3
human3_lib2.final_cell_0197	alpha	Donor3
human3_lib2.final_cell_0198	beta	Donor3
human3_lib2.final_cell_0199	acinar	Donor3
human3_lib2.final_cell_0200	beta	Donor3
human3_lib2.final_cell_0201	acinar	Donor3
human3_lib2.final_cell_0202	alpha	Donor3
human3_lib2.final_cell_0203	beta	Donor3
human3_lib2.final_cell_0204	beta	Donor3
human3_lib2.final_cell_0205	alpha	Donor3
human3_lib2.final_cell_0206	beta	Donor3
human3_lib2.final_cell_0207	acinar	Donor3
human3_lib2.final_cell_0208	ductal	Donor3
human3_lib2.final_cell_0209	ductal	Donor3
human3_lib2.final_cell_0210	beta	Donor3
human3_lib2.final_cell_0211	alpha	Donor3
human3_lib2.final_cell_0212	alpha	Donor3
human3_lib2.final_cell_0213	acinar	Donor3
human3_lib2.final_cell_0214	acinar	Donor3
human3_lib2.final_cell_0215	gamma	Donor3
human3_lib2.final_cell_0216	alpha	Donor3
human3_lib2.final_cell_0217	alpha	Donor3
human3_lib2.final_cell_0218	acinar	Donor3
human3_lib2.final_cell_0219	beta	Donor3
human3_lib2.final_cell_0220	delta	Donor3
human3_lib2.final_cell_0221	alpha	Donor3
human3_lib2.final_cell_0222	ductal	Donor3
human3_lib2.final_cell_0223	delta	Donor3
human3_lib2.final_cell_0224	ductal	Donor3
human3_lib2.final_cell_0225	delta	Donor3
human3_lib2.final_cell_0226	acinar	Donor3
human3_lib2.final_cell_0227	ductal	Donor3
human3_lib2.final_cell_0228	acinar	Donor3
human3_lib2.final_cell_0229	acinar	Donor3
human3_lib2.final_cell_0230	beta	Donor3
human3_lib2.final_cell_0231	alpha	Donor3
human3_lib2.final_cell_0232	ductal	Donor3
human3_lib2.final_cell_0233	beta	Donor3
human3_lib2.final_cell_0234	beta	Donor3
human3_lib2.final_cell_0235	acinar	Donor3
human3_lib2.final_cell_0236	alpha	Donor3
human3_lib2.final_cell_0237	acinar	Donor3
human3_lib2.final_cell_0238	alpha	Donor3
human3_lib2.final_cell_0239	activated_stellate	Donor3
human3_lib2.final_cell_0240	alpha	Donor3
human3_lib2.final_cell_0241	ductal	Donor3
human3_lib2.final_cell_0242	beta	Donor3
human3_lib2.final_cell_0243	alpha	Donor3
human3_lib2.final_cell_0244	beta	Donor3
human3_lib2.final_cell_0245	delta	Donor3
human3_lib2.final_cell_0246	alpha	Donor3
human3_lib2.final_cell_0247	acinar	Donor3
human3_lib2.final_cell_0248	alpha	Donor3
human3_lib2.final_cell_0249	beta	Donor3
human3_lib2.final_cell_0250	alpha	Donor3
human3_lib2.final_cell_0251	alpha	Donor3
human3_lib2.final_cell_0252	activated_stellate	Donor3
human3_lib2.final_cell_0253	ductal	Donor3
human3_lib2.final_cell_0254	acinar	Donor3
human3_lib2.final_cell_0255	alpha	Donor3
human3_lib2.final_cell_0256	alpha	Donor3
human3_lib2.final_cell_0257	acinar	Donor3
human3_lib2.final_cell_0258	alpha	Donor3
human3_lib2.final_cell_0259	beta	Donor3
human3_lib2.final_cell_0260	acinar	Donor3
human3_lib2.final_cell_0262	ductal	Donor3
human3_lib2.final_cell_0263	beta	Donor3
human3_lib2.final_cell_0264	delta	Donor3
human3_lib2.final_cell_0265	beta	Donor3
human3_lib2.final_cell_0266	acinar	Donor3
human3_lib2.final_cell_0267	acinar	Donor3
human3_lib2.final_cell_0268	acinar	Donor3
human3_lib2.final_cell_0269	acinar	Donor3
human3_lib2.final_cell_0270	acinar	Donor3
human3_lib2.final_cell_0271	activated_stellate	Donor3
human3_lib2.final_cell_0272	acinar	Donor3
human3_lib2.final_cell_0273	beta	Donor3
human3_lib2.final_cell_0274	ductal	Donor3
human3_lib2.final_cell_0275	alpha	Donor3
human3_lib2.final_cell_0276	beta	Donor3
human3_lib2.final_cell_0277	acinar	Donor3
human3_lib2.final_cell_0278	beta	Donor3
human3_lib2.final_cell_0279	beta	Donor3
human3_lib2.final_cell_0280	acinar	Donor3
human3_lib2.final_cell_0281	ductal	Donor3
human3_lib2.final_cell_0282	beta	Donor3
human3_lib2.final_cell_0283	acinar	Donor3
human3_lib2.final_cell_0284	beta	Donor3
human3_lib2.final_cell_0285	beta	Donor3
human3_lib2.final_cell_0286	alpha	Donor3
human3_lib2.final_cell_0287	beta	Donor3
human3_lib2.final_cell_0288	alpha	Donor3
human3_lib2.final_cell_0289	ductal	Donor3
human3_lib2.final_cell_0290	alpha	Donor3
human3_lib2.final_cell_0291	acinar	Donor3
human3_lib2.final_cell_0292	alpha	Donor3
human3_lib2.final_cell_0293	ductal	Donor3
human3_lib2.final_cell_0294	activated_stellate	Donor3
human3_lib2.final_cell_0295	alpha	Donor3
human3_lib2.final_cell_0296	alpha	Donor3
human3_lib2.final_cell_0297	ductal	Donor3
human3_lib2.final_cell_0298	acinar	Donor3
human3_lib2.final_cell_0299	acinar	Donor3
human3_lib2.final_cell_0300	acinar	Donor3
human3_lib2.final_cell_0301	alpha	Donor3
human3_lib2.final_cell_0302	alpha	Donor3
human3_lib2.final_cell_0303	alpha	Donor3
human3_lib2.final_cell_0304	beta	Donor3
human3_lib2.final_cell_0305	alpha	Donor3
human3_lib2.final_cell_0306	beta	Donor3
human3_lib2.final_cell_0307	alpha	Donor3
human3_lib2.final_cell_0308	beta	Donor3
human3_lib2.final_cell_0309	beta	Donor3
human3_lib2.final_cell_0310	alpha	Donor3
human3_lib2.final_cell_0311	delta	Donor3
human3_lib2.final_cell_0312	alpha	Donor3
human3_lib2.final_cell_0313	alpha	Donor3
human3_lib2.final_cell_0314	alpha	Donor3
human3_lib2.final_cell_0315	ductal	Donor3
human3_lib2.final_cell_0316	ductal	Donor3
human3_lib2.final_cell_0317	delta	Donor3
human3_lib2.final_cell_0318	alpha	Donor3
human3_lib2.final_cell_0319	ductal	Donor3
human3_lib2.final_cell_0320	ductal	Donor3
human3_lib2.final_cell_0321	alpha	Donor3
human3_lib2.final_cell_0322	alpha	Donor3
human3_lib2.final_cell_0323	ductal	Donor3
human3_lib2.final_cell_0324	acinar	Donor3
human3_lib2.final_cell_0325	beta	Donor3
human3_lib2.final_cell_0326	beta	Donor3
human3_lib2.final_cell_0327	alpha	Donor3
human3_lib2.final_cell_0328	alpha	Donor3
human3_lib2.final_cell_0329	alpha	Donor3
human3_lib2.final_cell_0330	alpha	Donor3
human3_lib2.final_cell_0331	beta	Donor3
human3_lib2.final_cell_0333	ductal	Donor3
human3_lib2.final_cell_0334	acinar	Donor3
human3_lib2.final_cell_0335	beta	Donor3
human3_lib2.final_cell_0336	beta	Donor3
human3_lib2.final_cell_0337	alpha	Donor3
human3_lib2.final_cell_0338	alpha	Donor3
human3_lib2.final_cell_0339	beta	Donor3
human3_lib2.final_cell_0340	ductal	Donor3
human3_lib2.final_cell_0341	ductal	Donor3
human3_lib2.final_cell_0342	beta	Donor3
human3_lib2.final_cell_0343	ductal	Donor3
human3_lib2.final_cell_0344	activated_stellate	Donor3
